folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.01203E+11,9,12,277,54,54,0.6528736,Muy bajo
9.01303E+11,9,13,265,183,161,0.6530339,Muy bajo
9.01101E+11,9,11,76,118,115,0.6540337,Muy bajo
9.01202E+11,9,12,193,5,5,0.6544009,Muy bajo
9.00901E+11,9,9,131,157,149,0.6550615,Muy bajo
9.00903E+11,9,9,322,251,242,0.6551638,Muy bajo
9.01302E+11,9,13,236,151,150,0.6554272,Muy bajo
9.00903E+11,9,9,338,71,71,0.6561983,Muy bajo
9.00903E+11,9,9,305,166,156,0.6565046,Muy bajo
9.012E+11,9,12,1,151,140,0.6579843,Muy bajo
9.00904E+11,9,9,389,33,33,0.6582558,Muy bajo
9.00902E+11,9,9,245,114,114,0.658762,Muy bajo
9.01303E+11,9,13,289,45,44,0.6591262,Muy bajo
9.01204E+11,9,12,374,89,86,0.6595717,Muy bajo
9.00801E+11,9,8,88,334,315,0.6602721,Muy bajo
9.01302E+11,9,13,214,139,126,0.6603228,Muy bajo
9.01102E+11,9,11,154,144,141,0.6606243,Muy bajo
9.00901E+11,9,9,110,4,4,0.660632,Muy bajo
9.00903E+11,9,9,256,220,212,0.6607766,Muy bajo
9.01203E+11,9,12,272,121,112,0.6608001,Muy bajo
9.00401E+11,9,4,73,512,483,0.6610363,Muy bajo
9.00903E+11,9,9,251,46,44,0.6611773,Muy bajo
9.00902E+11,9,9,158,307,295,0.6612037,Muy bajo
9.00902E+11,9,9,163,260,249,0.6616356,Muy bajo
9.00903E+11,9,9,337,41,41,0.6627795,Muy bajo
9.00903E+11,9,9,332,29,25,0.6629882,Muy bajo
9.01204E+11,9,12,439,110,103,0.6630194,Muy bajo
9.01302E+11,9,13,209,40,36,0.6635069,Muy bajo
9.00902E+11,9,9,199,81,80,0.6639314,Muy bajo
9.01201E+11,9,12,118,1,1,0.6646857,Muy bajo
9.01303E+11,9,13,266,135,130,0.6647479,Muy bajo
9.00903E+11,9,9,348,65,62,0.6649057,Muy bajo
9.00902E+11,9,9,219,189,185,0.665175,Muy bajo
9.01302E+11,9,13,201,53,48,0.6651773,Muy bajo
9.00401E+11,9,4,63,815,775,0.6657754,Muy bajo
9.00801E+11,9,8,108,51,46,0.6659507,Muy bajo
9.00904E+11,9,9,400,9,9,0.6666644,Muy bajo
9.01204E+11,9,12,432,6,5,0.666715,Muy bajo
9.00902E+11,9,9,241,64,58,0.6670817,Muy bajo
9.01101E+11,9,11,137,76,74,0.6673943,Muy bajo
9.00902E+11,9,9,192,30,30,0.6676557,Muy bajo
9.00904E+11,9,9,371,105,102,0.6679322,Muy bajo
9.00902E+11,9,9,191,15,14,0.6679366,Muy bajo
9.01101E+11,9,11,104,829,800,0.6679868,Muy bajo
9.013E+11,9,13,1,197,186,0.6680921,Muy bajo
9.00901E+11,9,9,142,20,20,0.6684626,Muy bajo
9.01204E+11,9,12,429,165,160,0.6686248,Muy bajo
9.00903E+11,9,9,323,129,121,0.6689874,Muy bajo
9.01204E+11,9,12,426,35,35,0.6692897,Muy bajo
9.00901E+11,9,9,115,313,308,0.6699622,Muy bajo
9.01204E+11,9,12,406,2,2,0.6700617,Muy bajo
9.01303E+11,9,13,269,200,194,0.6701702,Muy bajo
9.01101E+11,9,11,136,358,336,0.6703365,Muy bajo
9.00902E+11,9,9,200,25,25,0.6704375,Muy bajo
